Env,Accuracy,F1,MCC
0,0.9007407407407407,[0.94777864 0.         0.        ],0.0
0,0.8251851851851851,[0.90422078 0.         0.        ],0.0
0,0.84,[0.91304348 0.         0.        ],0.0
0,0.8548148148148148,[0.92172524 0.         0.        ],0.0
0,0.8311111111111111,[0.90776699 0.         0.        ],0.0
0,0.9007407407407407,[0.94777864 0.         0.        ],0.0
0,0.8251851851851851,[0.90422078 0.         0.        ],0.0
0,0.84,[0.91304348 0.         0.        ],0.0
0,0.8548148148148148,[0.92172524 0.         0.        ],0.0
0,0.8311111111111111,[0.90776699 0.         0.        ],0.0
0,0.9007407407407407,[0.94777864 0.         0.        ],0.0
0,0.8251851851851851,[0.90422078 0.         0.        ],0.0
0,0.84,[0.91304348 0.         0.        ],0.0
0,0.8548148148148148,[0.92172524 0.         0.        ],0.0
0,0.8311111111111111,[0.90776699 0.         0.        ],0.0
0,0.9007407407407407,[0.94777864 0.         0.        ],0.0
0,0.8251851851851851,[0.90422078 0.         0.        ],0.0
0,0.84,[0.91304348 0.         0.        ],0.0
0,0.8548148148148148,[0.92172524 0.         0.        ],0.0
0,0.8311111111111111,[0.90776699 0.         0.        ],0.0
